id,name,symbol,current_price,market_cap,total_volume
bitcoin,Bitcoin,btc,"$93,240.00","$1,850,462,018,355","$15,791,998,421"
ethereum,Ethereum,eth,"$1,769.94","$213,674,902,500","$8,977,987,525"
tether,Tether,usdt,$1.00,"$147,304,479,578","$18,881,016,252"
ripple,XRP,xrp,$2.24,"$130,908,109,096","$3,881,888,063"
binancecoin,BNB,bnb,$600.82,"$87,650,896,019","$549,180,554"
solana,Solana,sol,$145.49,"$75,220,016,008","$2,275,762,997"
usd-coin,USDC,usdc,$1.00,"$62,081,349,249","$4,224,630,181"
dogecoin,Dogecoin,doge,$0.18,"$26,216,460,321","$1,142,111,147"
cardano,Cardano,ada,$0.69,"$24,824,637,501","$576,239,930"
tron,TRON,trx,$0.24,"$23,193,186,714","$573,559,795"
